Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price INR,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Option 3 Name,Variant Option 3 Value,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Image 5,Product Image 6,Product Image 7,Product Tag 2,Product Image 8,Product Image 9,Product Image 10,Product Image 11,Product Image 12,Product Image 13,Product Image 14,Product Image 15,Product Image 16,Product Image 17
,and-forever,AND FOREVER,,<p>This will last forever nai tho paisa wapis</p>,published,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-20_at_5.20.58_PM-2.jpg?v=1727391692,,,,,,,,,,,,,pendant,TRUE,,,And Forever - gold,And Forever - gold,,FALSE,TRUE,0.0,,,,,,,,999.0,Color,gold,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-20_at_5.20.58_PM-2.jpg?v=1727391692,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsAppImage2024-09-20at4.48.42PM_1.jpg?v=1727391586,,,,,,,,,,,,,,,,
,and-forever,AND FOREVER,,<p>This will last forever nai tho paisa wapis</p>,published,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-20_at_5.20.58_PM-2.jpg?v=1727391692,,,,,,,,,,,,,pendant,TRUE,,,And Forever - silver,And Forever - silver,,FALSE,TRUE,0.0,,,,,,,,999.0,Color,silver,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-20_at_5.20.58_PM-2.jpg?v=1727391692,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsAppImage2024-09-20at4.48.42PM_1.jpg?v=1727391586,,,,,,,,,,,,,,,,
,azure-guardian,The Guardian,,"<p>The Guardian, a stunning evil eye pendant necklace.  More than just evil eye jewellery, it's your everyday shield against negativity.  Turn protection into a fashion statement. The Guardian's vibrant hues make a bold statement, while its symbolic meaning offers peace of mind.  This locket necklace is the perfect everyday essential for the modern woman.</p>",draft,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/1_0bcebe9f-3485-43c7-a1ad-f825eaa4911b.jpg?v=1717248837,,,,,,,,,,,,,pendant,TRUE,,,khdz004,khdz004,,FALSE,TRUE,0.0,,,,,,,,999.0,Title,Default Title,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/1_0bcebe9f-3485-43c7-a1ad-f825eaa4911b.jpg?v=1717248837,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/2_126904f0-7cbe-455b-84e8-ff1d6c2fbfd9.jpg?v=1717248837,,,,,,,,,,,,,,,,
,bamboo-bangle,Bamboo Bangle,,"<p><strong>Founder’s note :</strong><br>Easily one of my favorite bangles. It’s adjustable, which makes it perfect for gifting—but honestly? I’d keep this one for myself. Looks super elegant, gets compliments every time I wear it, and feels way more unique than your usual gold bangle. And yes, you’ll need a little help adjusting it, but once it’s on? Perfection.<br></p>",published,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/Apr_22_2025_02_14_34_AM.jpg?v=1746044142,,,,,,,,,,,,,bracelet,TRUE,,,BB - 1,BB - 1,,FALSE,TRUE,0.0,,,,,,,,999.0,Color,gold,Make it a stack?,1,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/Apr_22_2025_02_14_34_AM.jpg?v=1746044142,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5130.png?v=1754350084,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/silver_bamboo_bangle.jpg?v=1754350084,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-05_at_2.24.24_PM_2.jpg?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-27_at_10.02.27_PM_2.jpg?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2024-09-10-01h21m32s929.png?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsAppImage2024-09-01at12.29.55AM.jpg?v=1754350065,,,,,,,,,,,
,bamboo-bangle,Bamboo Bangle,,"<p><strong>Founder’s note :</strong><br>Easily one of my favorite bangles. It’s adjustable, which makes it perfect for gifting—but honestly? I’d keep this one for myself. Looks super elegant, gets compliments every time I wear it, and feels way more unique than your usual gold bangle. And yes, you’ll need a little help adjusting it, but once it’s on? Perfection.<br></p>",published,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/Apr_22_2025_02_14_34_AM.jpg?v=1746044142,,,,,,,,,,,,,bracelet,TRUE,,,BB - 2,BB - 2,,FALSE,TRUE,0.0,,,,,,,,1399.0,Color,gold,Make it a stack?,2,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/Apr_22_2025_02_14_34_AM.jpg?v=1746044142,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5130.png?v=1754350084,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/silver_bamboo_bangle.jpg?v=1754350084,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-05_at_2.24.24_PM_2.jpg?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-27_at_10.02.27_PM_2.jpg?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2024-09-10-01h21m32s929.png?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsAppImage2024-09-01at12.29.55AM.jpg?v=1754350065,,,,,,,,,,,
,bamboo-bangle,Bamboo Bangle,,"<p><strong>Founder’s note :</strong><br>Easily one of my favorite bangles. It’s adjustable, which makes it perfect for gifting—but honestly? I’d keep this one for myself. Looks super elegant, gets compliments every time I wear it, and feels way more unique than your usual gold bangle. And yes, you’ll need a little help adjusting it, but once it’s on? Perfection.<br></p>",published,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/Apr_22_2025_02_14_34_AM.jpg?v=1746044142,,,,,,,,,,,,,bracelet,TRUE,,,BB - 3,BB - 3,,FALSE,TRUE,0.0,,,,,,,,1999.0,Color,gold,Make it a stack?,3,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/Apr_22_2025_02_14_34_AM.jpg?v=1746044142,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5130.png?v=1754350084,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/silver_bamboo_bangle.jpg?v=1754350084,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-05_at_2.24.24_PM_2.jpg?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-27_at_10.02.27_PM_2.jpg?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2024-09-10-01h21m32s929.png?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsAppImage2024-09-01at12.29.55AM.jpg?v=1754350065,,,,,,,,,,,
,bamboo-bangle,Bamboo Bangle,,"<p><strong>Founder’s note :</strong><br>Easily one of my favorite bangles. It’s adjustable, which makes it perfect for gifting—but honestly? I’d keep this one for myself. Looks super elegant, gets compliments every time I wear it, and feels way more unique than your usual gold bangle. And yes, you’ll need a little help adjusting it, but once it’s on? Perfection.<br></p>",published,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/Apr_22_2025_02_14_34_AM.jpg?v=1746044142,,,,,,,,,,,,,bracelet,TRUE,,,BB - 4,BB - 4,,FALSE,TRUE,0.0,,,,,,,,2499.0,Color,gold,Make it a stack?,4,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/Apr_22_2025_02_14_34_AM.jpg?v=1746044142,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5130.png?v=1754350084,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/silver_bamboo_bangle.jpg?v=1754350084,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-05_at_2.24.24_PM_2.jpg?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-27_at_10.02.27_PM_2.jpg?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2024-09-10-01h21m32s929.png?v=1754350065,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsAppImage2024-09-01at12.29.55AM.jpg?v=1754350065,,,,,,,,,,,
,blingers,Blingers,,<p>It doesn't even need piercings. Best for this Diwali or any traditional outfit</p>,published,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5298.png?v=1729988251,,,,,,,,,,,,,earcuffs,TRUE,,,Blingers - gold,Blingers - gold,,FALSE,TRUE,0.0,,,,,,,,999.0,Color,Gold,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5298.png?v=1729988251,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2024-10-21-02h03m01s302.png?v=1729456658,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5301_1.png?v=1729988280,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5303.png?v=1729988503,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5305.png?v=1729988474,,,,,,,,,,,,,
,blingers,Blingers,,<p>It doesn't even need piercings. Best for this Diwali or any traditional outfit</p>,published,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5298.png?v=1729988251,,,,,,,,,,,,,earcuffs,TRUE,,,Blingers - silver,Blingers - silver,,FALSE,TRUE,0.0,,,,,,,,999.0,Color,Silver,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5298.png?v=1729988251,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2024-10-21-02h03m01s302.png?v=1729456658,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5301_1.png?v=1729988280,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5303.png?v=1729988503,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5305.png?v=1729988474,,,,,,,,,,,,,
,buckle-up,Buckle Up,,"<p>Cost of buckle up is 1299/-, pre-order cost is 699/-</p>
<p>We took inspiration from unexpected places for this one ;)</p>
<p>Buckle Up features a bold belt-buckle design, adding a touch of rebellious spirit to your everyday attire. It's where sleek sophistication meets industrial edge. This one is the perfect choice for those who crave statement bracelets that go beyond the ordinary. </p>
<p> </p>",draft,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/1_1e288065-e1ad-4fc4-80b7-afdb6a3a3ce5.jpg?v=1717244194,,,,,,,,,,,,,bracelet,TRUE,,,buckle up,buckle up,,FALSE,TRUE,0.0,,,,,,,,699.0,Title,Default Title,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/1_1e288065-e1ad-4fc4-80b7-afdb6a3a3ce5.jpg?v=1717244194,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/2_5226bd11-eea8-4138-8375-1e476b942c6b.jpg?v=1717244194,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/3_4a4ec3eb-8c03-4d5e-b334-a86ae1e71c2d.jpg?v=1717244194,,,,,,,,,,,,,,,
